,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AMD,BABA,HD,NVDA,TSLA,AMD,BABA,HD,NVDA,TSLA,AMD,BABA,HD,NVDA,TSLA,AMD,BABA,HD,NVDA,TSLA,AMD,BABA,HD,NVDA,TSLA,AMD,BABA,HD,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,11.430000305175781,88.5999984741211,120.70586395263672,100.73609924316406,43.39799880981445,11.430000305175781,88.5999984741211,134.30999755859375,102.01000213623047,43.39799880981445,11.649999618530273,89.0,135.50999450683594,106.37000274658203,44.066001892089844,11.020000457763672,88.08000183105469,133.58999633789062,99.37999725341797,42.19200134277344,11.420000076293945,89.0,135.10000610351562,104.4000015258789,42.97200012207031,55182000.0,8789400.0,5299700.0,37549900.0,29616500.0
2017-01-04,11.430000305175781,90.51000213623047,121.77536010742188,103.08638000488281,45.39799880981445,11.430000305175781,90.51000213623047,135.5,104.38999938964844,45.39799880981445,11.520000457763672,90.88999938964844,135.94000244140625,105.5,45.599998474121094,11.239999771118164,88.58000183105469,134.2100067138672,101.52999877929688,42.86199951171875,11.449999809265137,88.98500061035156,134.33999633789062,103.4000015258789,42.95000076293945,40781200.0,11490200.0,4055300.0,29980500.0,56067500.0
2017-01-05,11.239999771118164,94.37000274658203,120.3374252319336,100.469482421875,45.349998474121094,11.239999771118164,94.37000274658203,133.89999389648438,101.73999786376953,45.349998474121094,11.6899995803833,94.80999755859375,135.4600067138672,105.81999969482422,45.49599838256836,11.229999542236328,91.63999938964844,133.77999877929688,101.05000305175781,44.38999938964844,11.430000305175781,91.91000366210938,134.97999572753906,104.52999877929688,45.284000396728516,38855200.0,16821500.0,3821100.0,24607400.0,29558500.0
2017-01-06,11.319999694824219,93.88999938964844,120.0049057006836,101.81249237060547,45.801998138427734,11.319999694824219,93.88999938964844,133.52999877929688,103.0999984741211,45.801998138427734,11.489999771118164,94.5,134.3300018310547,104.25,46.0620002746582,11.109999656677246,93.0,133.0500030517578,101.19999694824219,45.09000015258789,11.289999961853027,94.4000015258789,133.97000122070312,102.8499984741211,45.38600158691406,34453500.0,7639800.0,3827500.0,20571400.0,27639500.0
2017-01-09,11.489999771118164,94.72000122070312,120.70586395263672,105.94029998779297,46.25600051879883,11.489999771118164,94.72000122070312,134.30999755859375,107.27999877929688,46.25600051879883,11.640000343322754,95.6500015258789,134.75999450683594,108.0,46.38399887084961,11.3100004196167,93.30999755859375,133.13999938964844,103.5,45.599998474121094,11.369999885559082,94.16000366210938,133.22000122070312,103.5,45.79399871826172,37304800.0,10829500.0,4310200.0,22906200.0,19897500.0
2017-01-10,11.4399995803833,96.75,122.31456756591797,105.14041900634766,45.9739990234375,11.4399995803833,96.75,136.10000610351562,106.47000122070312,45.9739990234375,11.630000114440918,97.90399932861328,136.3800048828125,109.19000244140625,46.400001525878906,11.329999923706055,95.55000305175781,133.77000427246094,105.62999725341797,45.37799835205078,11.550000190734863,96.4000015258789,134.0,107.80999755859375,46.400001525878906,29201600.0,14780600.0,5928300.0,22023000.0,18300000.0
2017-01-11,11.199999809265137,96.94000244140625,121.9551010131836,103.84677124023438,45.94599914550781,11.199999809265137,96.94000244140625,135.6999969482422,105.16000366210938,45.94599914550781,11.40999984741211,97.44999694824219,136.38999938964844,106.19999694824219,45.99599838256836,11.149999618530273,95.5999984741211,134.74000549316406,104.1500015258789,45.33599853515625,11.390000343322754,96.91999816894531,136.10000610351562,106.0,45.81399917602539,39377000.0,8735900.0,4643700.0,13141600.0,18254000.0
2017-01-12,10.760000228881836,95.9000015258789,121.388916015625,102.14826202392578,45.917999267578125,10.760000228881836,95.9000015258789,135.07000732421875,103.44000244140625,45.917999267578125,11.039999961853027,96.8499984741211,135.52999877929688,104.69999694824219,46.13999938964844,10.329999923706055,94.80000305175781,133.94000244140625,101.62000274658203,45.11600112915039,10.979999542236328,96.8499984741211,135.50999450683594,104.2300033569336,45.8120002746582,75244100.0,8424700.0,3600000.0,15640400.0,18951000.0
2017-01-13,10.579999923706055,96.2699966430664,121.36195373535156,102.13838195800781,47.54999923706055,10.579999923706055,96.2699966430664,135.0399932861328,103.43000030517578,47.54999923706055,10.869999885559082,97.37999725341797,135.75,105.0,47.56999969482422,10.5600004196167,95.76000213623047,134.75999450683594,103.05999755859375,45.917999267578125,10.789999961853027,95.94999694824219,134.9199981689453,103.5999984741211,46.0,38377500.0,10701100.0,3117600.0,11445500.0,30465000.0
2017-01-17,9.819999694824219,96.12000274658203,122.16178894042969,99.84734344482422,47.11600112915039,9.819999694824219,96.12000274658203,135.92999267578125,101.11000061035156,47.11600112915039,10.229999542236328,96.58999633789062,136.47999572753906,103.19999694824219,47.992000579833984,9.779999732971191,95.0,134.75999450683594,100.56999969482422,46.874000549316406,10.170000076293945,96.31999969482422,135.08999633789062,103.0,47.34000015258789,70491800.0,6342400.0,3976900.0,14515300.0,23087500.0
